timestamps,open,high,low,close,tick_volume
2019-01-02 03:00:00,1282.21,1284.05,1282.01,1283.92,1001.0
2019-01-02 04:00:00,1283.92,1286.44,1283.71,1286.2,1376.0
2019-01-02 05:00:00,1286.2,1287.31,1285.58,1285.82,1894.0
2019-01-02 06:00:00,1285.82,1286.43,1284.55,1285.45,2087.0
2019-01-02 07:00:00,1285.4,1288.64,1284.85,1287.99,2688.0
2019-01-02 08:00:00,1288.04,1288.7,1286.93,1286.98,2090.0
2019-01-02 09:00:00,1286.98,1287.87,1286.28,1287.29,1662.0
2019-01-02 10:00:00,1287.29,1287.59,1286.31,1286.43,1602.0
2019-01-02 11:00:00,1286.34,1286.34,1284.03,1285.44,2242.0
2019-01-02 12:00:00,1285.43,1287.35,1283.27,1284.22,3867.0
2019-01-02 13:00:00,1284.13,1285.07,1282.0,1283.6,3801.0
2019-01-02 14:00:00,1283.61,1287.02,1282.82,1285.77,3881.0
2019-01-02 15:00:00,1285.77,1287.63,1283.27,1285.19,3179.0
2019-01-02 16:00:00,1285.19,1286.49,1283.96,1284.02,1511.0
2019-01-02 17:00:00,1283.92,1284.05,1278.64,1279.27,2667.0
2019-01-02 18:00:00,1279.25,1281.49,1279.05,1281.49,1827.0
2019-01-02 19:00:00,1281.49,1283.3,1280.67,1283.17,1140.0
2019-01-02 20:00:00,1283.17,1284.94,1282.36,1284.6,756.0
2019-01-02 22:00:00,1287.68,1290.13,1285.43,1285.8,1330.0
2019-01-02 23:00:00,1285.8,1287.35,1285.17,1286.67,1787.0
2019-01-03 00:00:00,1286.75,1288.51,1285.06,1288.27,2640.0
2019-01-03 01:00:00,1288.27,1289.61,1287.86,1288.47,1888.0
2019-01-03 02:00:00,1288.47,1288.84,1287.53,1287.84,1301.0
2019-01-03 03:00:00,1287.84,1288.76,1287.66,1288.35,969.0
2019-01-03 04:00:00,1288.35,1290.23,1287.66,1289.95,1518.0
2019-01-03 05:00:00,1289.95,1292.24,1289.37,1292.03,1730.0
2019-01-03 06:00:00,1292.03,1292.26,1288.48,1289.59,3861.0
2019-01-03 07:00:00,1289.59,1290.66,1288.09,1289.65,3746.0
2019-01-03 08:00:00,1289.71,1289.71,1287.27,1288.03,1948.0
2019-01-03 09:00:00,1288.03,1288.81,1286.9,1288.1,2046.0
2019-01-03 10:00:00,1288.1,1288.2,1286.04,1287.16,2303.0
2019-01-03 11:00:00,1287.16,1289.12,1287.0,1287.99,1698.0
2019-01-03 12:00:00,1287.99,1290.09,1284.5,1287.72,4795.0
2019-01-03 13:00:00,1287.72,1289.18,1286.76,1287.71,2878.0
2019-01-03 14:00:00,1287.71,1291.3,1287.44,1289.68,7308.0
2019-01-03 15:00:00,1289.71,1290.83,1288.25,1289.21,4603.0
2019-01-03 16:00:00,1289.21,1290.86,1288.9,1290.36,2500.0
2019-01-03 17:00:00,1290.36,1292.97,1290.03,1291.09,2631.0
2019-01-03 18:00:00,1291.09,1293.42,1290.99,1293.33,1340.0
